Atmospheric Density,Surface Temperature,Gravity,Water Content,Mineral Abundance,Orbital Period,Proximity to Star,Magnetic Field Strength,Radiation Levels,Atmospheric Composition Index
0.83721143,2.9306953,-1.0412167,3.0240912,0.18710098,1.5056382,-2.2775416,Category_13,Category_9,0.026944235
-0.033964075,-0.8628252,0.7277969,0.9763438,0.2603286,-3.5883455,-0.5796367,Category_13,Category_8,0.5776032
1.7130873,-1.3606967,-3.5346909,0.15568066,0.9124086,-0.3187572,1.7846435,Category_10,Category_15,-1.9717836
0.5182393,1.1508644,0.026175037,-1.5320914,-0.962219,-2.152564,-2.1954672,Category_8,Category_11,0.40311715
-0.055569492,-0.8274182,-3.198654,1.3544145,-2.0411484,-0.05902677,-1.1234452,Category_9,Category_8,-2.1529076
0.8465521,-0.21697834,-1.3804982,3.592504,-0.81172884,1.8208954,0.9773435,Category_10,Category_11,0.37211356
2.5355692,-0.5933265,-0.6462931,-1.1454513,0.4959532,-1.7193582,-1.0798523,Category_8,Category_8,-1.0010144
2.2580824,3.3569129,-1.6998693,2.4951117,0.238655,0.5024553,-3.001645,Category_11,Category_10,0.15118136
-3.7690883,-1.6452422,-0.18598819,0.60835934,-2.0973344,0.26350683,0.11284793,Category_8,Category_10,-0.13105808
0.8339502,4.183737,-0.76264554,0.1465984,0.28058264,-0.63533056,-1.421239,Category_11,Category_10,1.4118094
-2.2642136,0.11892074,0.8031008,0.28302908,-2.57051,-0.21858858,-1.381109,Category_10,Category_10,-1.3216934
0.42685264,2.0538268,-3.4717503,1.1221817,-1.410948,-0.6772675,0.12676825,Category_15,Category_11,0.079416215
1.1343297,0.33229843,3.650381,0.095469326,0.76827824,0.66116637,0.44409043,Category_6,Category_7,0.8918259
-1.5752996,1.3057687,-1.3665389,0.9047257,-0.28150463,-0.5840512,-1.000779,Category_7,Category_6,1.0434667
-1.1982574,-0.9569562,1.0495105,-0.23915952,1.0196879,0.83566964,-0.1692539,Category_12,Category_6,-0.8778609
-0.3476626,2.1465163,1.4816968,-0.10740994,0.6348874,2.3435936,0.3999762,Category_10,Category_11,-1.7089431
-2.2733514,0.53470653,-1.0288131,-0.3146225,0.066896945,-1.815739,-1.7794697,Category_11,Category_9,0.7021082
0.39214095,0.1922561,0.29570243,2.3655047,-1.3134224,1.0225645,0.73220843,Category_12,Category_9,-0.06565755
-0.19362578,2.7459967,-0.047106467,1.922681,-0.22027877,1.57643,-2.1926696,Category_12,Category_7,1.9611936
0.24115877,-1.8358326,-3.1174755,-2.509985,3.4445324,-1.087115,0.64771783,Category_12,Category_11,0.34581038
2.6838214,-0.37119052,-0.09748888,1.1975263,-3.7062666,1.2594362,1.6156453,Category_7,Category_9,2.2396846
-0.23827107,2.6894932,-0.63882816,-0.9851326,-2.3315363,-0.1728511,1.6914811,Category_15,Category_7,-0.03079617
6.9207153,-2.0339034,-1.2460072,1.0260955,-2.847932,2.0606654,0.5703497,Category_4,Category_7,0.0049233884
1.96001,-2.4554195,0.3736027,1.1196464,-1.4392517,0.41278654,-0.24580185,Category_14,Category_3,-0.6135073
-1.4980654,-0.5827955,2.3000073,-1.9965526,1.6783296,2.2706132,0.896731,Category_9,Category_10,-0.9268033
-3.483079,-0.98541814,0.33901134,-0.3405577,-1.4195642,-1.5180091,1.7037882,Category_6,Category_8,-0.16165201
-2.6454203,2.0096684,-0.14330938,-0.38985425,0.024232592,0.21450341,0.8659345,Category_11,Category_10,0.908849
-0.9013013,-2.5486405,-2.8253229,-0.5566386,-0.79528564,-1.709668,-1.0923647,Category_12,Category_8,-0.1690012
-1.68059,1.3513906,-0.70501816,1.5404384,-1.1688216,1.4685187,1.7155672,Category_11,Category_8,-0.07546919
-3.0784051,-0.23530544,0.7317973,-1.605535,0.43855762,0.35602355,0.009142697,Category_8,Category_11,-2.1040835
0.31321505,2.7098372,2.5095422,-2.6426508,0.054057956,3.046801,2.8716528,Category_12,Category_11,-1.5987923
-0.52455187,3.0152245,-2.182024,-0.101836115,-0.5904895,-1.4520584,-0.65162146,Category_12,Category_11,1.1620612
1.6343185,0.7890999,0.33822176,1.6144102,1.1462466,-3.0969837,1.5733935,Category_8,Category_4,-0.6528573
1.2345692,-1.7131475,2.149784,3.2671237,2.7669127,2.7888632,0.26919007,Category_14,Category_4,0.26793113
-0.72626346,3.3007073,-2.583222,0.067860216,-1.0755916,0.49124062,-0.21378484,Category_13,Category_8,1.6608145
-0.21912003,0.37218463,-1.258521,0.25687343,0.81543773,1.2369765,-1.6430748,Category_5,Category_12,0.6753336
2.040327,3.0805511,-1.9036496,0.3765719,2.5543494,0.6089183,-3.2318828,Category_12,Category_12,0.3719157
-2.4588122,2.0902982,0.4521831,-1.5587795,0.39997542,2.2864063,3.3134868,Category_10,Category_9,-1.1200883
1.0869956,-0.24441895,-3.002913,-0.4931791,-0.42699087,-3.5211525,0.6604036,Category_11,Category_8,-1.214872
1.3407923,2.0588408,-0.1886994,3.8204327,0.1605534,-0.6145548,1.2037548,Category_8,Category_7,-2.02612
-3.9233475,-2.2720044,1.0820312,0.37300962,-0.5094703,0.95603883,0.68783265,Category_9,Category_11,-0.4469608
0.88257855,-2.5545166,-2.7287927,-1.8273019,0.0806416,0.2918448,-1.0823815,Category_12,Category_7,-0.36059815
-0.29647833,0.2962933,0.87507486,2.3405461,1.4109799,-3.0466857,-0.3154207,Category_7,Category_7,-0.43438354
-2.284827,0.41371846,1.5241776,0.08060297,-0.5719759,0.6980099,-1.6345295,Category_8,Category_8,-1.303192
0.5119615,-1.4533637,-1.7620612,-4.037865,2.0714316,-1.4422115,2.4628148,Category_14,Category_9,0.110271275
-2.6775038,-0.798801,-0.4984115,0.0015843213,0.729359,-2.1688757,2.113797,Category_7,Category_8,1.0124121
1.3681958,2.5946946,1.0789721,0.39700454,2.4810996,0.24433665,-0.037781075,Category_8,Category_13,1.1796587
-2.555191,0.19163603,-1.4520826,0.4798328,-1.3556194,-1.5255741,-0.29353416,Category_9,Category_7,1.1238308
-2.1447515,0.18659455,-0.41876408,-0.78528035,0.8529237,-0.36382172,2.5749116,Category_8,Category_13,-0.59440696
1.3496984,-0.49538603,0.3102019,2.2969024,-0.56852084,-1.8935242,0.21834515,Category_6,Category_6,-0.16803321
0.7590502,3.3510196,-2.4218876,1.601099,2.0958004,1.2399043,-0.3354797,Category_10,Category_11,1.7679901
-0.6673918,0.45830444,-0.6308634,2.838613,-1.0472202,0.10525107,-0.040755656,Category_7,Category_8,-0.5765099
3.4168,-0.6316441,-1.3185804,-0.34468603,-2.8299272,0.77239126,-0.95670867,Category_2,Category_8,0.23244992
0.7835732,1.1308179,-2.7383182,-2.264574,-0.9632883,-0.32969102,-0.8405768,Category_8,Category_9,0.8780019
1.092108,2.9494503,-0.88126665,2.3460643,-0.049890734,1.5189933,-3.1594813,Category_13,Category_9,0.72282964
0.29797238,1.1625816,-3.110798,2.831683,-0.8251701,0.66071266,-0.85996664,Category_8,Category_11,-0.091466
-0.16006634,3.6276572,-1.2173494,1.016649,0.13899522,0.53163654,-1.3950036,Category_9,Category_8,1.8276398
2.7540479,-1.6033832,0.8174577,2.286891,-0.9577146,0.4735659,-1.0131727,Category_13,Category_5,0.32540116
-3.0582376,-2.5837283,0.30299994,0.58406603,-0.9972952,0.54279417,-1.2366937,Category_10,Category_12,0.3353235
-0.32091677,2.0855784,-2.8956966,-0.90278274,0.753469,-1.6135069,-0.54555583,Category_9,Category_9,0.98465014
-0.44203323,2.776436,0.3851814,1.036031,0.3458634,-0.5120721,-0.51518285,Category_8,Category_5,-0.2879129
-0.14319754,-2.2177498,1.0431929,-2.107816,1.6339701,-0.079714715,-1.3090816,Category_11,Category_7,1.4732647
-3.5137231,-0.97842366,-0.26959607,-0.47484374,-0.10675758,1.2230943,1.9582174,Category_6,Category_10,-0.4099069
-1.7510151,-1.1603272,-1.421831,-1.4610124,-0.90971434,-2.2238147,0.45909497,Category_11,Category_8,0.8786181
-1.1721307,3.3779945,-1.1539593,0.23929271,1.4878659,0.12938824,-0.58589333,Category_8,Category_10,1.9228636
-2.7347612,1.3621932,-0.085508905,0.7275218,0.18725632,-0.008266866,1.7729623,Category_8,Category_8,0.858935
-1.9205916,1.6550897,0.8711328,0.3498867,0.5702623,-1.3330823,0.08220115,Category_6,Category_6,-0.66051626
-1.9761221,1.9350297,-1.1662096,0.22787699,0.93692434,-0.49320775,-1.5407311,Category_9,Category_6,-0.04447034
0.51920706,2.6229627,-0.0974028,2.8427176,0.38903934,0.43651897,-3.6311185,Category_11,Category_10,-0.30091894
-1.4133208,2.649902,0.35959163,-0.27262598,-0.08538537,-0.51045704,-0.5233021,Category_7,Category_6,0.43005195
1.2487807,1.5442642,0.6272285,0.6520798,0.7133063,1.9685454,2.0875528,Category_9,Category_5,0.10479392
2.8061712,-1.1074145,-3.887305,-1.8930221,1.8592477,-0.5337315,-0.74493665,Category_8,Category_9,-0.52431
-0.38424376,1.7337458,1.9661183,1.4075154,-0.45311403,-1.16036,0.21966255,Category_7,Category_5,-1.6147316
-2.001151,1.6408043,-2.3110762,0.39979166,-1.2047256,-0.60552585,-0.002684895,Category_12,Category_7,1.4897207
0.57169956,0.62121606,0.9345499,2.027334,1.122877,-2.2194278,0.6426066,Category_8,Category_6,-1.1623547
-1.0900708,2.655741,-0.27018285,-0.7990799,-0.5811571,-0.2073819,0.21321623,Category_12,Category_8,-2.0217288
-1.3588679,1.2092955,-1.2665002,1.1997597,0.85398823,-0.65382963,-1.0483034,Category_7,Category_9,1.6794218
2.2690513,-1.4283031,-2.797048,1.6908846,-2.8868165,2.205647,1.5277413,Category_11,Category_8,-0.9242817
0.25871295,1.455815,-0.31386518,-3.0051255,-0.7608023,-0.8037251,-1.4376936,Category_5,Category_9,1.7796466
0.44009548,-0.17004874,-1.8692366,-2.1089964,3.4842567,2.2362509,-0.24537396,Category_6,Category_11,1.4016328
0.10188326,0.27983937,-0.32498112,-2.833692,-0.35297966,-1.3808489,-1.3311195,Category_6,Category_6,1.1329768
2.0547695,0.9988158,2.1537595,1.678031,2.6265166,-3.5566382,1.2931709,Category_6,Category_8,-0.17228326
3.0318906,-0.43542263,3.101317,1.2597225,2.4801595,-3.167906,0.7826418,Category_6,Category_9,0.34766436
3.2250395,-2.1170483,-2.523688,-1.0370512,1.3813977,-1.5743604,1.0119019,Category_7,Category_8,-0.24132021
0.0478965,2.8751082,0.47115004,0.32876432,2.2345097,1.5261412,2.4277463,Category_12,Category_7,1.4403924
-0.3853594,-0.36826363,-0.27424937,-2.2529726,1.9709206,0.5372251,-0.6933796,Category_6,Category_6,1.8604066
-3.64609,-1.9354503,0.28554988,-0.19636571,-0.8562396,-1.2292802,2.1454759,Category_7,Category_9,0.44359472
2.9887779,-0.8206848,-1.2582403,0.20868632,0.0645276,-0.96502495,-0.8284353,Category_8,Category_5,-0.95766747
-3.574709,-3.2513647,1.3150208,-0.003312096,0.16787735,1.120661,0.536518,Category_9,Category_13,0.10088904
1.9930485,1.0891647,0.5123447,3.3320868,0.24396282,-0.86770684,1.0825877,Category_6,Category_8,-2.0685923
-0.3221884,3.2531874,2.5223594,0.755401,0.7396111,1.2024386,0.43579715,Category_5,Category_6,-1.2684095
-1.0808405,-0.5099538,0.40845615,1.224802,-0.5917833,-2.6403537,-0.23394088,Category_8,Category_7,-0.4493337
-0.97475713,2.5861475,-1.8902224,0.35807478,-1.6049098,0.45511466,-0.61753446,Category_15,Category_8,0.88435775
-1.2129102,0.0378087,-3.135599,0.9513585,0.24079956,1.8302583,-0.09637613,Category_11,Category_7,-1.0724925
-3.7299232,-1.8620304,0.2293067,0.879388,-1.901308,-0.25806823,0.7458834,Category_7,Category_9,-0.4054131
-1.5123811,2.5697815,1.3987682,0.0071321577,1.1500438,1.3290918,0.92481637,Category_9,Category_10,-0.34637937
-2.9294908,-0.30657515,-0.49637547,0.43577194,-1.9881722,-1.7335019,0.5348846,Category_8,Category_6,0.4751776
0.131831,0.8241726,-0.2504567,-1.387347,2.347468,1.0638025,-0.14841169,Category_2,Category_8,0.9502382
2.521182,-0.049766276,2.2938433,2.995562,2.3271945,2.4696047,-1.3521724,Category_13,Category_6,0.6554397
2.9414759,-1.2714894,0.00063085184,-0.10115491,-0.91857815,-1.6099827,-0.86424416,Category_7,Category_6,-0.92071474
-1.612613,-0.5236566,-0.7737027,1.8540756,-0.8750894,-0.716018,-1.2134006,Category_9,Category_11,1.4387071e-05
0.62590224,2.4696026,-2.1502204,0.9308392,1.6558768,-0.2114541,-1.8516717,Category_9,Category_7,1.5622673
0.23088844,0.805691,-3.3326063,1.213449,0.6506572,2.0254834,0.02964373,Category_10,Category_9,0.15058666
-0.79201645,1.1187289,1.634537,-1.3491809,-1.5118243,-0.8688028,-1.4511732,Category_6,Category_9,-0.024935097
0.5142495,-1.2860913,-2.3020496,-0.82969207,-0.6960517,-0.81518215,-0.7746439,Category_8,Category_6,0.060848996
-3.4131792,-0.21876007,-0.42004266,0.5249627,-2.0031364,-1.1511378,0.76360846,Category_8,Category_6,0.58076435
0.67289615,0.41199613,1.766508,-2.736406,0.25047904,-1.3091463,-1.3023689,Category_8,Category_9,0.18103471
0.54849106,2.1223981,-0.2099573,3.4145043,-0.6637957,-1.3473371,0.06345047,Category_10,Category_7,-0.94060504
2.5317817,0.24508536,-1.1251358,0.49773988,-0.37552226,-1.8412786,-0.010132082,Category_7,Category_7,-0.33321786
0.5414938,-1.7974399,-2.29599,0.89931285,-1.3076705,-0.96532965,1.633289,Category_13,Category_7,-1.250867
-2.1741486,0.99779534,0.16874844,0.5585987,-0.7810929,-2.3915272,-0.63747597,Category_9,Category_9,1.1172659
-1.4768282,2.5082285,-1.6374382,0.5177078,1.9406093,0.6790576,-0.40337366,Category_8,Category_9,-0.45289576
2.1831355,-0.42771283,1.9103233,2.7914143,-0.95227385,-2.633985,-0.28218412,Category_8,Category_10,-0.39923137
2.6382637,-1.0175385,-2.2562168,-3.6976233,0.718176,-0.49487492,-1.3047559,Category_6,Category_7,1.123552
0.82574093,3.4678733,-1.5046717,2.0244036,1.4019467,1.3628551,-2.6863914,Category_14,Category_10,0.7601687
-0.56526095,1.5098656,0.6109575,2.4649262,0.5617097,-0.1889829,0.55772895,Category_8,Category_8,-1.6860144
2.554805,-2.7129478,-3.9602516,0.6672741,0.30494493,-0.47835094,0.21561067,Category_8,Category_8,-3.1551123
-0.1430677,1.8716468,0.31235057,0.8242408,1.1687855,-0.83172387,-1.2935134,Category_10,Category_6,0.9205202
-1.6022221,0.016657913,0.9116112,0.9979148,-1.1715875,-0.8401888,-1.0910023,Category_14,Category_11,-0.93532944
-3.0860047,-1.0296539,-0.11766202,0.28568876,-1.6496547,-1.9105809,1.643177,Category_7,Category_7,0.6309943
-0.8601644,2.1857424,-2.1331968,-0.18700601,0.9222448,-0.9550767,-1.7567321,Category_12,Category_9,0.07385737
-1.1519455,2.173615,-1.4013437,0.49165154,0.6589878,-0.4420026,-2.4092681,Category_9,Category_9,0.64867675
-0.76858574,0.61540455,2.964111,-1.0299715,1.5298164,3.2721696,2.148287,Category_11,Category_9,-0.16156447
1.2386284,-4.7533374,-1.2135035,-0.492295,0.15778016,1.2173638,-1.6765183,Category_11,Category_7,0.2156206
-0.16959772,-1.9387051,-2.4495823,0.20024303,-1.8969424,-0.3348406,-0.68697923,Category_10,Category_10,-1.7064955
-0.8802664,-1.3149849,0.41001022,1.804173,1.494938,1.4997566,1.090641,Category_10,Category_6,0.6098147
-3.1656537,-0.34277397,-1.0723988,0.5422972,-2.0966938,0.23165171,-0.050096795,Category_8,Category_7,-0.24567983
-3.4494843,-0.9453398,-0.055898175,0.9965104,-2.7223752,-0.872268,0.061115626,Category_8,Category_8,-0.35843903
-0.22559386,-0.33694687,-0.9958149,-0.5982793,2.663546,-0.30599937,-0.99104726,Category_6,Category_8,-0.60051125
-3.732139,-1.3299361,-0.009992609,0.15323247,-1.7715815,-0.99576956,1.5020964,Category_8,Category_9,0.53227216
0.1999618,-2.6535316,-1.9816573,-0.9045903,2.6671972,0.818577,0.68415564,Category_6,Category_9,1.1700541
-3.6924174,-0.8610466,-0.58286977,-0.012972498,-1.9062033,-0.9341759,1.0786433,Category_8,Category_8,0.53941196
0.15210845,-2.148457,-2.1538925,0.68871367,3.1887317,-0.09558853,0.15349251,Category_7,Category_7,-0.32739854
-1.2295915,0.20564795,-0.5798501,-1.6172564,-0.9466927,-2.0801828,-0.9862755,Category_7,Category_8,2.0248282
5.2519774,-2.2460392,-0.97457004,0.90654224,-3.942791,1.6688712,0.030659273,Category_9,Category_6,0.6784037
-0.2204562,-1.8637942,-0.36943826,-0.36706594,1.7112712,-0.5436611,-1.4325188,Category_13,Category_8,-0.23704726
0.0703254,2.9815733,0.56600267,0.65626574,1.1452025,-0.95678145,-0.54200685,Category_8,Category_6,1.2344958
0.6980589,-5.1008124,-1.6017373,0.38087818,2.9757543,1.6247483,2.6231117,Category_9,Category_10,0.6850259
1.2172734,-1.7903447,-3.6211772,-1.364576,0.8122787,0.285145,-1.2097124,Category_6,Category_8,-1.6626968
4.771559,-0.9181564,0.26060086,-2.5018644,-2.4708438,-0.73131406,-0.26842654,Category_5,Category_10,0.5916828
-2.6512718,-0.12508257,-1.1460717,0.94948864,-1.9818339,-1.4723719,-0.5116169,Category_9,Category_6,1.021154
-3.798817,-1.8354256,1.0897987,-0.4581818,0.77024895,2.008958,1.045126,Category_9,Category_12,-0.3409461
-2.415781,0.16655809,-1.2780279,0.52226204,-1.1959903,-1.6763089,-0.07541932,Category_9,Category_6,0.9960754
2.5132742,-0.8759693,3.7626219,-1.2263467,-3.0604973,-1.3589952,-1.8392054,Category_12,Category_9,0.20351653
-1.0093511,1.374465,-3.4575655,1.1299777,0.41021538,-0.49932525,-0.7548766,Category_12,Category_9,0.5259614
4.2656364,-0.38275534,-2.017492,-1.0670743,-1.2220569,-0.1029695,-0.39254186,Category_7,Category_6,-0.992236
-2.3210096,-0.12749839,-1.5120132,1.8279006,-1.4981308,-0.6457727,-1.3712687,Category_10,Category_8,0.06601101
-3.4670897,-1.7883798,0.8460335,-0.17720221,-0.48307166,-1.6596832,2.256702,Category_6,Category_10,0.12311204
-0.29688168,-0.6057436,3.4947085,0.3209048,2.4093149,-3.302495,0.3702643,Category_9,Category_10,1.4592744
-0.9007148,3.0190535,-1.1553246,-0.27208036,1.2656803,-0.5037416,-1.8267952,Category_9,Category_6,0.47758922
1.4066647,-1.8186531,1.9984272,-0.2670225,3.7353363,2.7603066,1.905689,Category_11,Category_4,1.2077887
4.1314445,-3.252216,-0.10221076,-1.6292174,4.49336,-0.34595138,1.7872984,Category_15,Category_11,-0.15008494
2.6373193,0.7194491,0.31723043,4.503376,-1.5521042,1.1574677,2.5146766,Category_9,Category_7,-0.22363618
-3.5089836,-2.1341276,0.1398157,0.73317987,-0.9181772,1.6584821,-1.2380649,Category_9,Category_11,-0.14606752
-3.3167846,-0.51113003,-0.6033663,0.49173057,-2.4983165,-1.3694994,0.11194389,Category_8,Category_7,0.58558583
-3.7322042,-1.5985355,0.17468028,0.8551806,-2.0874438,0.38577154,0.03242571,Category_9,Category_10,-0.41668636
-1.4533801,-1.4031807,-2.9594786,0.110879436,-0.9943621,-2.075464,-0.82774764,Category_12,Category_9,-0.55163974
-0.5360751,2.7143254,-1.2631171,-2.3444421,1.1900744,-1.0492746,0.495723,Category_6,Category_9,0.86757135
1.1082509,-0.8527636,-3.2983937,0.73877287,-0.7598256,-0.7737548,0.0016538277,Category_8,Category_9,-2.665661
-0.22387901,-1.256862,1.7220837,3.4996536,1.5923158,1.6202776,-0.32532564,Category_11,Category_5,0.8299556
0.17744718,2.0658903,-2.3779447,-0.3798092,0.8077962,-2.0020216,-0.78637403,Category_10,Category_17,-1.2740784
0.3212329,2.6231263,-1.7629778,1.7601571,-1.5154126,0.3044198,-2.5431075,Category_13,Category_7,0.8544043
-1.5067269,0.82318753,0.7362195,-1.372992,-1.9874758,-0.21671087,-1.2608447,Category_8,Category_9,-0.019159377
0.38761505,2.1036437,-3.270682,1.8420482,0.5358868,-0.19400135,-0.87429714,Category_12,Category_15,-0.5872267
-3.1000347,-0.71077806,-1.0606576,-0.6968517,-0.5664252,0.007304147,0.7654263,Category_10,Category_8,0.08105773
-0.24300903,3.4139488,-2.1137054,-1.3822908,2.8005686,-0.9460012,0.19247377,Category_8,Category_10,1.9020798
3.4570637,0.9710626,0.34433836,-1.2553992,1.1422528,-0.09126987,0.3524804,Category_12,Category_4,-0.28401133
-0.87275666,-2.178853,-1.8369424,-1.3521726,1.5907049,0.20289934,-0.45606604,Category_13,Category_7,-0.5022576
-0.8929822,-1.2536436,2.4939122,-1.3238343,0.09158859,-1.4340453,-0.9111825,Category_10,Category_11,0.97199064
-1.6594148,1.0708728,1.1223445,-1.6770971,-2.0259957,-0.20603794,0.25708476,Category_8,Category_9,-1.2233377
0.5772826,-1.2672865,0.29056376,-2.4509609,-1.9152657,-1.8348074,-1.2200527,Category_12,Category_10,-0.2141257
0.67192334,4.078716,-3.2092562,-0.5916874,-0.72521627,-0.44888425,1.006192,Category_12,Category_8,2.3445802
1.8226894,-0.9166073,-1.4278613,1.6984125,1.8825322,-0.18823043,0.37363905,Category_13,Category_8,0.19064072
4.4696827,0.91331357,1.0285501,0.18935528,3.5358164,1.729607,2.8607998,Category_10,Category_10,0.3309523
-1.3812463,3.0172076,0.6255418,-1.373887,-0.66919935,1.8359343,2.921714,Category_12,Category_7,-1.2511947
-3.3651614,-1.3658053,-0.252944,1.3954896,-2.2661753,0.57805103,-1.3834168,Category_9,Category_9,-0.07993281
